cds_code,c_code,cd_code,s_code,r_type,s_name,d_name,c_name,enroll_12,num_tst_takr,avg_scr_read,avg_scr_eng,avg_scr_math,avg_scr_sci,num_ge_21,pct_ge_21,year
43696664333795,43,4369666,4333795,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23,22,22,23,34,64.15,2018-19
19647331935121,19,1964733,1935121,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21,20,23,22,11,57.89,2018-19
19769680109926,19,1976968,109926,S,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15,15,17,16,3,9.09,2018-19
19647330126615,19,1964733,126615,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18,18,18,17,5,31.25,2018-19
19651361996321,19,1965136,1996321,S,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29,29,25,25,34,94.44,2018-19
7616300730283,7,761630,730283,S,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29,29,28,27,93,93.94,2018-19
43694270125617,43,4369427,125617,S,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,14,14,15,15,1,2.94,2018-19
36679340125419,36,3667934,125419,S,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19,17,18,18,8,28.57,2018-19
56725465631619,56,5672546,5631619,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23,23,23,22,55,60.44,2018-19
43696744338802,43,4369674,4338802,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25,24,24,24,93,67.39,2018-19
19646831930080,19,1964683,1930080,S,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27,26,25,24,114,81.43,2018-19
19647330118588,19,1964733,118588,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14,14,16,15,7,6.25,2018-19
1611190130229,1,161119,130229,S,Alameda High,Alameda Unified,Alameda,463.0,93.0,28,27,27,26,85,91.4,2018-19
1611270130450,1,161127,130450,S,Albany High,Albany City Unified,Alameda,296.0,58.0,28,27,27,26,51,87.93,2018-19
