cds_code,c_code,cd_code,s_code,r_type,s_name,d_name,c_name,enroll_12,num_tst_takr_12,num_erw_benchmark_12,pct_erw_benchmark_12,num_math_benchmark_12,pct_math_benchmark_12,tot_num_both_benchmark_12,pct_both_benchmark_12,year
19647331930924,19,1964733,1930924,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31,30.39,14,13.73,14,13.73,2018-19
19647331931476,19,1964733,1931476,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54,47.79,18,15.93,18,15.93,2018-19
19647336061451,19,1964733,6061451,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68,64.15,36,33.96,36,33.96,2018-19
30736353034956,30,3073635,3034956,S,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161,84.74,138,72.63,132,69.47,2018-19
13631071332501,13,1363107,1332501,S,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,14,51.85,6,22.22,5,18.52,2018-19
19647330119685,19,1964733,119685,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17,25.0,6,8.82,6,8.82,2018-19
33670333331600,33,3367033,3331600,S,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148,72.55,88,43.14,82,40.2,2018-19
19646341996586,19,1964634,1996586,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45,66.18,30,44.12,29,42.65,2018-19
33671813335759,33,3367181,3335759,S,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27,71.05,13,34.21,12,31.58,2018-19
36750773630423,36,3675077,3630423,S,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150,80.65,70,37.63,67,36.02,2018-19
37683386061964,37,3768338,6061964,S,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44,68.75,33,51.56,28,43.75,2018-19
10621171030683,10,1062117,1030683,S,Clovis East High,Clovis Unified,Fresno,584.0,237.0,161,67.93,103,43.46,94,39.66,2018-19
39686760108159,39,3968676,108159,S,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96,50.0,50,26.04,39,20.31,2018-19
19647331938885,19,1964733,1938885,S,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121,62.69,82,42.49,76,39.38,2018-19
19647331996115,19,1964733,1996115,S,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14,60.87,7,30.43,7,30.43,2018-19
19756636120158,19,1975663,6120158,S,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43,91.49,33,70.21,32,68.09,2018-19
19757131934553,19,1975713,1934553,S,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241,89.59,230,85.5,215,79.93,2018-19
29663572935500,29,2966357,2935500,S,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78,87.64,64,71.91,62,69.66,2018-19
30736503035102,30,3073650,3035102,S,University High,Irvine Unified,Orange,633.0,205.0,189,92.2,185,90.24,179,87.32,2018-19
41689244137790,41,4168924,4137790,S,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213,61.92,169,49.13,153,44.48,2018-19
7617960735316,7,761796,735316,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117,46.99,60,24.1,58,23.29,2018-19
19642460100081,19,1964246,100081,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112,67.47,50,30.12,46,27.71,2018-19
19642461930213,19,1964246,1930213,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37,44.58,9,10.84,8,9.64,2018-19
19648731936749,19,1964873,1936749,S,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352,37.77,185,19.85,158,16.95,2018-19
41690474134557,41,4169047,4134557,S,Mills High,San Mateo Union High,San Mateo,299.0,147.0,137,93.2,132,89.8,126,85.71,2018-19
41690704137279,41,4169070,4137279,S,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71,82.56,53,61.63,51,59.3,2018-19
1612000133397,1,161200,133397,S,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157,88.2,143,80.34,132,74.16,2018-19
19101990115212,19,1910199,115212,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10,58.82,6,35.29,6,35.29,2018-19
38684783833407,38,3868478,3833407,S,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,415,98.11,386,91.25,385,91.02,2018-19
21654822133692,21,2165482,2133692,S,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,138,92.62,121,81.21,119,79.87,2018-19
33103300110833,33,3310330,110833,S,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,30,90.91,22,66.67,22,66.67,2018-19
37683380107052,37,3768338,107052,S,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,8,44.44,2,11.11,1,5.56,2018-19
37683380107078,37,3768338,107078,S,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,20,80.0,11,44.0,11,44.0,2018-19
39103973930476,39,3910397,3930476,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,47,61.04,18,23.38,18,23.38,2018-19
7617210107797,7,761721,107797,S,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,212,86.89,158,64.75,156,63.93,2018-19
10752341037456,10,1075234,1037456,S,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,10,37.04,0,0.0,0,0.0,2018-19
10752751036938,10,1075275,1036938,S,Sierra High,Sierra Unified,Fresno,91.0,28.0,26,92.86,15,53.57,15,53.57,2018-19
33751760107920,33,3375176,107920,S,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,68,60.71,41,36.61,36,32.14,2018-19
36676783630522,36,3667678,3630522,S,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,458,82.37,362,65.11,352,63.31,2018-19
